ma_san_pham,hinh_anh,hinh_anh_2
204100052,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-duong-sang-da-eucerin-spf50-50ml_7rjqwKiWUnnEGGy6_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-duong-sang-da-eucerin-spf50-50ml_7rjqwKiWUnnEGGy6_img_380x380_64adc6_fit_center.png
223600009,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-sua-chong-nang-senka-spf50-pa-80g_zuH6fakFTeMdmZgY_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-sua-chong-nang-senka-spf50-pa-80g_zuH6fakFTeMdmZgY_img_380x380_64adc6_fit_center.png
422216493,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-cetaphil-diu-lanh-cho-da-nhay-cam-50ml_SY146NWwxXGymUVg_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-cetaphil-diu-lanh-cho-da-nhay-cam-50ml_SY146NWwxXGymUVg_img_380x380_64adc6_fit_center.png
422216416,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml_hWPZgpHWc3QNdjfq_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml_hWPZgpHWc3QNdjfq_img_380x380_64adc6_fit_center.png
422218363,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-xit-chong-nang-anessa-duong-da-da-nang-60g-moi_WPndcZg6rgx9fQW5_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-xit-chong-nang-anessa-duong-da-da-nang-60g-moi_WPndcZg6rgx9fQW5_img_380x380_64adc6_fit_center.png
422216812,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-drg-kem-duong-cap-am-phuc-hoi-70ml-kem-chong-nang-sang-da-20ml_9G68oP2spi6Sa4x1_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-drg-kem-duong-cap-am-phuc-hoi-70ml-kem-chong-nang-sang-da-20ml_9G68oP2spi6Sa4x1_img_380x380_64adc6_fit_center.png
223600010,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600010-1698736613_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600010-1698736613_img_380x380_64adc6_fit_center.jpg
422206922,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-fixderma-duong-am-cho-da-mat-co-the-75g-1717726938_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-fixderma-duong-am-cho-da-mat-co-the-75g-1717726938_img_380x380_64adc6_fit_center.jpg
100550385,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-100550385-1698831879_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-100550385-1698831879_img_380x380_64adc6_fit_center.jpg
422204028,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204028-1728022263_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204028-1728022263_img_380x380_64adc6_fit_center.jpg
343100024,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-343100024-1727924629_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-343100024-1727924629_img_380x380_64adc6_fit_center.jpg
249500027,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-xanh-1711608188_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-xanh-1711608188_img_380x380_64adc6_fit_center.jpg
422209173,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209173-1702363988_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209173-1702363988_img_380x380_64adc6_fit_center.png
422206421,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-hatomugi-nang-tong-duong-am-da-70g_Ajbs3mr7rTokNnSg_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-hatomugi-nang-tong-duong-am-da-70g_Ajbs3mr7rTokNnSg_img_380x380_64adc6_fit_center.png
422218132,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-sua-chong-nang-sunplay-bao-ve-vuot-troi-30g-1706866721_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-sua-chong-nang-sunplay-bao-ve-vuot-troi-30g-1706866721_img_380x380_64adc6_fit_center.jpg
422215665,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422215665-1697450813_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422215665-1697450813_img_380x380_64adc6_fit_center.jpg
204900039,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-la-roche-posay-chong-nang-kiem-dau-khong-mau-50ml-nuoc-tay-trang-da-dau-50ml_YC4husQQtYk55Mvt_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-la-roche-posay-chong-nang-kiem-dau-khong-mau-50ml-nuoc-tay-trang-da-dau-50ml_YC4husQQtYk55Mvt_img_380x380_64adc6_fit_center.png
422209420,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209420-1729678445_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209420-1729678445_img_380x380_64adc6_fit_center.jpg
422219890,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-l-oreal-serum-hyaluronic-acid-cap-am-sang-da-30ml-kem-chong-nang-x20-thoang-da-mong-nhe-50ml-2-serum-duong-sang-mo-tham-7-5ml-1713151185_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-l-oreal-serum-hyaluronic-acid-cap-am-sang-da-30ml-kem-chong-nang-x20-thoang-da-mong-nhe-50ml-2-serum-duong-sang-mo-tham-7-5ml-1713151185_img_380x380_64adc6_fit_center.jpg
422211276,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211276-1728977682_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211276-1728977682_img_380x380_64adc6_fit_center.jpg
